country,Country Code,Indicator Name,Indicator Code,co2_emission
France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,267154.7
Faroe Islands,FRO,CO2 emissions (kt),EN.ATM.CO2E.KT,
"Micronesia, Fed. Sts.",FSM,CO2 emissions (kt),EN.ATM.CO2E.KT,107.5
Gabon,GAB,CO2 emissions (kt),EN.ATM.CO2E.KT,5349.2
United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,308650.3
Georgia,GEO,CO2 emissions (kt),EN.ATM.CO2E.KT,10255
Ghana,GHA,CO2 emissions (kt),EN.ATM.CO2E.KT,19401.16
Gibraltar,GIB,CO2 emissions (kt),EN.ATM.CO2E.KT,
Eq. Guinea,GIN,CO2 emissions (kt),EN.ATM.CO2E.KT,4537.9
"Gambia, The",GMB,CO2 emissions (kt),EN.ATM.CO2E.KT,611.4
Guinea-Bissau,GNB,CO2 emissions (kt),EN.ATM.CO2E.KT,329
Equatorial Guinea,GNQ,CO2 emissions (kt),EN.ATM.CO2E.KT,4350.4
Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,51002.2
Grenada,GRD,CO2 emissions (kt),EN.ATM.CO2E.KT,324.5
Greenland,GRL,CO2 emissions (kt),EN.ATM.CO2E.KT,
Guatemala,GTM,CO2 emissions (kt),EN.ATM.CO2E.KT,16865.2
Guam,GUM,CO2 emissions (kt),EN.ATM.CO2E.KT,
Guyana,GUY,CO2 emissions (kt),EN.ATM.CO2E.KT,2768.5
High income,HIC,CO2 emissions (kt),EN.ATM.CO2E.KT,10864997.07
"Hong Kong SAR, China",HKG,CO2 emissions (kt),EN.ATM.CO2E.KT,
Honduras,HND,CO2 emissions (kt),EN.ATM.CO2E.KT,8835.4
Heavily indebted poor countries (HIPC),HPC,CO2 emissions (kt),EN.ATM.CO2E.KT,224996.636
Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,15626.9
Haiti,HTI,CO2 emissions (kt),EN.ATM.CO2E.KT,3209.04
Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,44769.3
IBRD only,IBD,CO2 emissions (kt),EN.ATM.CO2E.KT,20952613.31
